Date,Genesis,Matthew,Psalms,Proverbs
26,Is 48:12-50:11,Ef 4:17-32,Sl 69:1-18,Pv 24:5-6
27,Is 51:1-53:12,Ef 5:1-33,Sl 69:19-36,Pv 24:7
28,Is 54:1-57:14,Ef 6:1-24,Sl 70:1-5,Pv 24:8
29,Is 57:15-59:21,Fp 1:1-26,Sl 71:1-24,Pv 24:9-10
30,Is 60:1-62:5,Fp 1:27-2:18,Sl 72:1-20,Pv 24:11-12
1,Is 62:6-65:25,Fp 2:19-3:3,Sl 73:1-28,Pv 24:13-14
2,Is 66:1-24,Fp 3:4-21,Sl 74:1-23,Pv 24:15-16
3,Jr 1:1-2:30,Fp 4:1-23,Sl 75:1-10,Pv 24:17-20
4,Jr 2:31-4:18,Cl 1:1-17,Sl 76:1-12,Pv 24:21-22
5,Jr 4:19-6:15,Cl 1:18-2:7,Sl 77:1-20,Pv 24:23-25
6,Jr 6:16-8:7,Cl 2:8-23,Sl 78:1-31,Pv 24:26
7,Jr 8:8-9:26,Cl 3:1-17,Sl 78:32-55,Pv 24:27
8,Jr 10:1-11:23,Cl 3:18-4:18,Sl 78:56-72,Pv 24:28-29
9,Jr 12:1-14:10,1Ts 1:1-2:8,Sl 79:1-13,Pv 24:30-34
10,Jr 14:11-16:15,1Ts 2:9-3:13,Sl 80:1-19,Pv 25:1-5
11,Jr 16:16-18:23,1Ts 4:1-5:3,Sl 81:1-16,Pv 25:6-8
12,Jr 19:1-21:14,1Ts 5:4-28,Sl 82:1-8,Pv 25:9-10
13,Jr 22:1-23:20,2Ts 1:1-12,Sl 83:1-18,Pv 25:11-14
14,Jr 23:21-25:38,2Ts 2:1-17,Sl 84:1-12,Pv 25:15
15,Jr 26:1-27:22,2Ts 3:1-18,Sl 85:1-13,Pv 25:16
16,Jr 28:1-29:32,1Tm 1:1-20,Sl 86:1-17,Pv 25:17
17,Jr 30:1-31:26,1Tm 2:1-15,Sl 87:1-7,Pv 25:18-19
18,Jr 31:27-32:44,1Tm 3:1-16,Sl 88:1-18,Pv 25:20-22
